dataset,shift,train_n,test_n,surrml_a_to_a_mean,surrml_a_to_a_std,rf_imp_a_to_a_mean,rf_imp_a_to_a_std,surrml_a_to_b_mean,surrml_a_to_b_std,rf_imp_a_to_b_mean,rf_imp_a_to_b_std,surrml_delta,rf_imp_delta
california,High occupancy -> Low occupancy,9288,1000/1000,0.8196666666666667,0.004496912521077344,0.8456666666666667,0.009177266598624095,0.75,0.00648074069840786,0.75,0.0032659863237109042,-0.06966666666666665,-0.09566666666666668
credit,Age < median -> Age >= median,13080,1000/1000,0.807,0.0035590260840104404,0.812,0.0035590260840104404,0.791,0.001632993161855449,0.7916666666666666,0.002867441755680869,-0.016000000000000014,-0.020333333333333425
