dataset,method,accuracy_mean,accuracy_std,seeds,accuracies
breast_cancer,rf_impute,0.9415204678362573,0.004135127375359887,"42,123,456","0.938596,0.947368,0.938596"
banknote,rf_impute,0.9090909090909092,0.005938156952201637,"42,123,456","0.909091,0.916364,0.901818"
california,rf_impute,0.8248546511627907,0.006956640033410818,"42,123,456","0.833818,0.823886,0.816860"
letter,rf_impute,0.7857500000000001,0.006024256523975932,"42,123,456","0.794250,0.781000,0.782000"
adult,rf_impute,0.8300472943922363,0.0035180335489131756,"42,123,456","0.827590,0.827529,0.835022"
credit,rf_impute,0.8066666666666666,0.002190044816047434,"42,123,456","0.806333,0.804167,0.809500"
